Character,Votes Liked Most,Votes Liked Least,Gender
Ned Stark,7645,492,M
Catelyn Stark,1661,6348,F
Daenerys Targaryen,4315,4634,F
Tyrion Lannister,12619,455,M
Jon Snow,11196,650,M
Bran Stark,4058,2973,M
Sansa Stark,2804,5440,F
Arya Stark,8984,1063,F
Theon Greyjoy,3540,3310,M
Davos Seaworth,8191,1101,M
Jaime Lannister,9964,431,M
Samwell Tarly,3094,2959,M
Cersei Lannister,3660,4060,F
Brienne of Tarth,3340,4989,F
