Character,Hero or Villain?,Percent of Votes,Rank
Ramsay Bolton,Villain,22,2
Petyr Baelish,Villain,16,3
Joffrey Baratheon,Villain,7,4
Jon Snow,Hero,33,1
Daenerys Targaryen,Hero,17,2
Arya Stark,Hero,10,3
Tyrion Lannister,Hero,9,4
Cersei Lannister,Villain,41,1
